Intensity.column,Digest.stage,Sample,Replicate
Intensity KH1009_Bov_I60_rT1_C80R,Intestinal,C80UR,1
Intensity KH1010_Bov_I60_rT2_C80R,Intestinal,C80UR,2
Intensity KH1011_Bov_I60_rT3_C80R,Intestinal,C80UR,3
Intensity KH1012_Bov_I60_65T1_C80R,Intestinal,C80R65,1
Intensity KH1013_Bov_I60_65T2_C80R,Intestinal,C80R65,2
Intensity KH1014_Bov_I60_65T3_C80R,Intestinal,C80R65,3
Intensity KH1015_Bov_I60_85T1_C80R,Intestinal,C80R85,1
Intensity KH1016_Bov_I60_85T2_C80R,Intestinal,C80R85,2
Intensity KH1017_Bov_I60_85T3_C80R,Intestinal,C80R85,3
Intensity KH1018_Bov_I60_rT1_C80B,Intestinal,C80UB,1
Intensity KH1019_Bov_I60_rT2_C80B,Intestinal,C80UB,2
Intensity KH1020_Bov_I60_rT3_C80B,Intestinal,C80UB,3
Intensity KH1021_Bov_I60_65T1_C80B,Intestinal,C80B65,1
Intensity KH1022_Bov_I60_65T2_C80B,Intestinal,C80B65,2
Intensity KH1023_Bov_I60_65T3_C80B,Intestinal,C80B65,3
Intensity KH1024_Bov_I60_85T1_C80B,Intestinal,C80B85,1
Intensity KH1025_Bov_I60_85T2_C80B,Intestinal,C80B85,2
Intensity KH1026_Bov_I60_85T3_C80B,Intestinal,C80B85,3
Intensity KH1027_Bov_I60_rT1_C40R,Intestinal,C40UR,1
Intensity KH1028_Bov_I60_rT2_C40R,Intestinal,C40UR,2
Intensity KH1029_Bov_I60_rT3_C40R,Intestinal,C40UR,3
Intensity KH1030_Bov_I60_65T1_C40R,Intestinal,C40R65,1
Intensity KH1031_Bov_I60_65T2_C40R,Intestinal,C40R65,2
Intensity KH1032_Bov_I60_65T3_C40R,Intestinal,C40R65,3
Intensity KH1033_Bov_I60_85T1_C40R,Intestinal,C40R85,1
Intensity KH1034_Bov_I60_85T2_C40R,Intestinal,C40R85,2
Intensity KH1035_Bov_I60_85T3_C40R,Intestinal,C40R85,3
Intensity KH1036_Bov_I60_rT1_C40B,Intestinal,C40UB,1
Intensity KH1037_Bov_I60_rT2_C40B,Intestinal,C40UB,2
Intensity KH1038_Bov_I60_rT3_C40B,Intestinal,C40UB,3
Intensity KH1039_Bov_I60_65T1_C40B,Intestinal,C40B65,1
Intensity KH1040_Bov_I60_65T2_C40B,Intestinal,C40B65,2
Intensity KH1041_Bov_I60_65T3_C40B,Intestinal,C40B65,3
Intensity KH1042_Bov_I60_85T1_C40B,Intestinal,C40B85,1
Intensity KH1043_Bov_I60_85T2_C40B,Intestinal,C40B85,2
Intensity KH1044_Bov_I60_85T3_C40B,Intestinal,C40B85,3
